LabelID        Mean        StdD         Max         Min       Count     Vol(mm^3)        Extent(Vox)
    0    1026,89777   422,75470  4728,59131     0,00000     1615488   1615488,000    128   128    99
    1    1056,78175   192,04058  2335,95923   706,71735        6466      6466,000     17    15    70
    9    1182,15007    90,45434  1251,04504  1079,71655           3         3,000      1     2     2
   10    1177,04673   110,69142  1442,69336   957,27502          59        59,000      3     4    10
