LabelID        Mean        StdD         Max         Min       Count     Vol(mm^3)        Extent(Vox)
    0    1037,00829   442,23273  4769,42334   -31,10000     1809642   1809642,000    128   128   111
    1    1029,56344   158,41785  1908,55652   701,28754        8949      8949,000     20    16    83
    9    1438,42107   138,94504  1709,44055  1172,61902          17        17,000      5     4     2
   10    1244,31559    77,00022  1410,52588  1175,28345          16        16,000      4     2     4
