LabelID        Mean        StdD         Max         Min       Count     Vol(mm^3)        Extent(Vox)
    0    1010,75245   417,65998  4035,04443   -16,84229     1715035   1715035,000    128   128   105
    1    1100,32433   196,29297  2259,44043   789,54956        5180      5180,000     16    15   103
    9    1469,20378   274,25135  2050,73169  1114,11157          35        35,000      3     3     7
   10    1217,68622    85,05434  1476,47925  1091,04333          70        70,000      6     4    24
