LabelID        Mean        StdD         Max         Min       Count     Vol(mm^3)        Extent(Vox)
    0     925,05194   388,11674  3756,34131   -13,89236     1567163   1567163,000    128   128    96
    1    1061,44555   167,03944  2106,29492   766,30627        5600      5600,000     15    14    95
    3    1008,93715    49,18523  1087,59412   911,48785          15        15,000      3     3     5
    9    2011,74668   209,82049  2343,76514  1738,93079          22        22,000      2     3    14
   10    1473,97310   186,71507  1794,78467  1160,45276          64        64,000      5     5    13
