LabelID        Mean        StdD         Max         Min       Count     Vol(mm^3)        Extent(Vox)
    0    1000,96846   388,57989  4789,42383   -24,05616     1680594   1680594,000    128   128   103
    1    1021,95462   168,52423  2031,09094   745,18713        6735      6735,000     21    17   102
    9    1444,47197   213,31035  2124,39819  1049,69629         221       221,000     10     8    38
   10    1329,36896   127,98503  1419,86804  1238,86987           2         2,000      2     2     1
