LabelID        Mean        StdD         Max         Min       Count     Vol(mm^3)        Extent(Vox)
    0    1012,05393   388,70782  4816,49902     0,00000     1680133   1680133,000    128   128   103
    1    1142,04629   190,76084  2146,35010   813,12531        6420      6420,000     18    16    73
    9    1470,55901   145,86515  1994,80920  1124,26111         395       395,000     13     9    61
   10    1409,59896   117,75539  1791,30603  1091,02844         604       604,000      9     8    42
