LabelID        Mean        StdD         Max         Min       Count     Vol(mm^3)        Extent(Vox)
    0     996,54901   413,87965  4760,87988    -7,92855     1811059   1811059,000    128   128   111
    1    1122,55201   172,64977  2204,71191   795,79315        7225      7225,000     19    17   109
    9    1402,54284    91,78484  1672,04810  1220,53015         181       181,000     11     6    17
   10    1335,24329    95,94297  1567,15332  1138,34521         159       159,000      8     6     9
