LabelID        Mean        StdD         Max         Min       Count     Vol(mm^3)        Extent(Vox)
    0    1060,49546   395,32869  4659,96191   -66,93889     1583424   1583424,000    128   128    97
    1    1115,02637   184,41098  2240,51074   823,41479        4953      4953,000     15    13    96
    9    1763,88574   358,97536  2801,39111  1086,34216         470       470,000     14     6    67
   10    1394,17038   139,75214  1876,97046  1036,68823         401       401,000     14     6    35
