LabelID        Mean        StdD         Max         Min       Count     Vol(mm^3)        Extent(Vox)
    0     962,00675   440,58132  3772,68994   -15,24844     1664693   1664693,000    128   128   102
    1    1113,97110   184,70333  2040,11060   749,05725        5477      5477,000     16    15    98
    9    1720,59002   357,41337  2641,95996  1110,60559         405       405,000     16     9    46
   10    1465,53753   151,55834  1933,56567  1109,46631         593       593,000     13     8    34
