LabelID        Mean        StdD         Max         Min       Count     Vol(mm^3)        Extent(Vox)
    0     949,86518   398,93056  4854,88721   -40,19228     1613913   1613913,000    128   128    99
    1    1073,13285   155,12265  1913,71729   733,44006        7804      7804,000     19    17    74
    9    1351,92362   249,52950  2051,52612   914,52673         176       176,000      9     7    37
   10    1251,51586   125,68093  1512,79749  1008,13184         123       123,000      5     5    16
