LabelID        Mean        StdD         Max         Min       Count     Vol(mm^3)        Extent(Vox)
    0    1001,60704   377,76371  4673,50195    -1,12095     1580427   1580427,000    128   128    97
    1    1064,08007   172,44351  2060,75781   771,99072        8460      8460,000     20    16    84
    9    1891,27199   273,62586  2714,05811  1359,79065         264       264,000      5     7    44
   10    1438,21203   167,66391  1738,95642   947,56018          97        97,000     10     6    51
