LabelID        Mean        StdD         Max         Min       Count     Vol(mm^3)        Extent(Vox)
    0     975,66338   370,57228  3791,56079     0,00000     1566309   1566309,000    128   128    96
    1    1062,83884   177,30613  1943,87891   781,42535        6510      6510,000     16    14    76
    2    1727,06488    35,58658  1752,22839  1701,90137           2         2,000      1     1     2
    3    1097,26614    64,17751  1272,43396   976,28235          43        43,000      4     3     6
