LabelID        Mean        StdD         Max         Min       Count     Vol(mm^3)        Extent(Vox)
    0    1058,42769   325,08595  4614,09326   -21,30791     1680634   1680634,000    128   128   103
    1    1014,05716   154,45379  2142,12012   560,61829        6918      6918,000     18    16    64
