LabelID        Mean        StdD         Max         Min       Count     Vol(mm^3)        Extent(Vox)
    0     982,87641   396,31917  4693,76074    -1,50378     1679327   1679327,000    128   128   103
    1    1158,57054   191,22252  2080,30688   784,25470        8145      8145,000     22    16   103
    2    1808,18652    68,22665  1877,60535  1732,18567           4         4,000      4     1     4
    3    1543,81901   122,38111  1863,76453  1352,65649          76        76,000      4     5     8
